iter	Passed	Remaining
490	656	680
491	657	679
492	658	677
493	659	676
494	661	674
495	662	672
496	663	671
497	664	669
498	665	668
499	666	666
500	668	665
501	669	663
502	670	662
503	671	660
504	672	659
505	674	658
506	675	656
507	676	655
508	677	653
509	678	652
510	679	650
511	681	649
512	682	647
513	683	646
514	684	645
515	686	643
516	687	642
517	689	641
518	690	639
519	691	638
520	692	636
521	693	635
522	695	633
523	696	632
524	697	631
525	698	629
526	700	628
527	701	627
528	703	625
529	704	624
530	705	623
531	706	621
532	708	620
533	709	619
534	710	617
535	712	616
536	713	615
537	714	613
538	715	612
539	716	610
540	718	609
541	719	607
542	720	606
543	721	605
544	723	603
545	724	602
546	725	600
547	726	599
548	727	598
549	729	596
550	730	595
551	731	593
552	732	592
553	734	590
554	735	589
555	736	588
556	737	586
557	738	585
558	740	583
559	741	582
560	742	580
561	743	579
562	744	578
563	745	576
564	747	575
565	748	573
566	749	572
567	750	570
568	751	569
569	753	568
570	754	566
571	755	565
572	756	563
573	757	562
574	758	560
575	760	559
576	761	558
577	762	556
578	763	555
579	764	553
580	766	552
581	767	551
582	768	549
583	769	548
584	771	546
585	772	545
586	773	544
587	774	542
588	775	541
589	776	539
590	778	538
591	779	536
592	780	535
593	781	534
594	782	532
595	783	531
596	785	529
597	786	528
598	787	527
599	788	525
600	789	524
601	790	522
602	792	521
603	793	520
604	794	518
605	795	517
606	796	515
607	797	514
608	799	513
609	800	511
610	801	510
611	803	509
612	804	507
613	805	506
614	806	504
615	807	503
616	808	502
617	809	500
618	811	499
619	812	497
620	813	496
621	814	495
622	816	493
623	817	492
624	818	491
625	819	489
626	821	488
627	822	487
628	823	485
629	824	484
630	826	483
631	827	481
632	828	480
633	829	478
634	831	477
635	832	476
636	833	475
637	835	473
638	836	472
639	837	471
640	839	469
641	840	468
642	841	467
643	842	466
644	844	464
645	845	463
646	847	462
647	848	460
648	849	459
649	851	458
650	852	457
651	853	455
652	855	454
653	856	453
654	857	451
655	858	450
656	860	448
657	861	447
658	862	446
659	863	445
660	865	443
661	866	442
662	867	440
663	868	439
664	869	438
665	870	436
666	872	435
667	873	433
668	874	432
669	875	431
670	876	429
671	877	428
672	879	427
673	880	425
674	881	424
675	882	423
676	883	421
677	885	420
678	886	418
679	887	417
680	888	416
681	889	414
682	890	413
683	892	412
684	893	410
685	894	409
686	895	408
687	896	406
688	897	405
689	899	403
690	900	402
691	901	401
692	902	399
693	903	398
694	904	397
695	905	395
696	907	394
697	908	393
698	909	391
699	910	390
700	912	389
701	913	387
702	914	386
703	915	385
704	917	383
705	918	382
706	919	381
707	920	379
708	921	378
709	923	377
710	924	375
711	925	374
712	926	373
713	928	371
714	929	370
715	930	369
716	931	367
717	932	366
718	934	365
719	935	363
720	936	362
721	937	361
722	939	359
723	940	358
724	941	357
725	942	355
726	943	354
727	945	353
728	946	351
729	947	350
730	948	349
731	949	347
732	951	346
733	952	345
734	953	343
735	954	342
736	955	341
737	957	339
738	958	338
739	959	337
740	960	335
741	961	334
742	962	333
743	964	331
744	965	330
745	966	329
746	967	327
747	968	326
748	969	325
749	971	323
750	972	322
751	973	321
752	975	319
753	976	318
754	978	317
755	979	316
756	980	314
757	982	313
758	983	312
759	984	310
760	985	309
761	987	308
762	988	307
763	989	305
764	991	304
765	992	303
766	993	301
767	995	300
768	996	299
769	998	298
770	999	296
771	1000	295
772	1001	294
773	1002	292
774	1004	291
775	1005	290
776	1006	288
777	1007	287
778	1009	286
779	1010	285
780	1011	283
781	1012	282
782	1014	281
783	1015	279
784	1016	278
785	1017	277
786	1019	275
787	1020	274
788	1021	273
789	1022	271
790	1024	270
791	1025	269
792	1026	268
793	1028	266
794	1029	265
795	1030	264
796	1032	262
797	1033	261
798	1034	260
799	1035	258
800	1037	257
801	1038	256
802	1039	255
803	1041	253
804	1042	252
805	1043	251
806	1045	249
807	1046	248
808	1047	247
809	1048	246
810	1049	244
811	1051	243
812	1052	242
813	1053	240
814	1054	239
815	1056	238
816	1057	236
817	1058	235
818	1059	234
819	1061	232
820	1062	231
821	1063	230
822	1064	228
823	1065	227
824	1066	226
825	1068	224
826	1069	223
827	1071	222
828	1072	221
829	1074	220
830	1075	218
831	1077	217
832	1078	216
833	1079	214
834	1080	213
835	1082	212
836	1083	211
837	1085	209
838	1086	208
839	1088	207
840	1089	205
841	1090	204
842	1092	203
843	1093	202
844	1095	200
845	1096	199
846	1097	198
847	1099	196
848	1100	195
849	1102	194
850	1103	193
851	1104	191
852	1105	190
853	1107	189
854	1108	188
855	1109	186
856	1111	185
857	1112	184
858	1113	182
859	1114	181
860	1116	180
861	1117	178
862	1119	177
863	1120	176
864	1121	175
865	1122	173
866	1124	172
867	1125	171
868	1126	169
869	1128	168
870	1129	167
871	1131	166
872	1132	164
873	1133	163
874	1135	162
875	1136	160
876	1137	159
877	1139	158
878	1140	156
879	1141	155
880	1143	154
881	1144	153
882	1146	151
883	1147	150
884	1148	149
885	1150	147
886	1151	146
887	1152	145
888	1153	144
889	1155	142
890	1156	141
891	1158	140
892	1159	138
893	1160	137
894	1161	136
895	1162	134
896	1164	133
897	1165	132
898	1166	131
899	1167	129
900	1169	128
901	1170	127
902	1171	125
903	1172	124
904	1174	123
905	1175	121
906	1176	120
907	1177	119
908	1178	117
909	1179	116
910	1181	115
911	1182	114
912	1183	112
913	1184	111
914	1186	110
915	1187	108
916	1188	107
917	1189	106
918	1190	104
919	1191	103
920	1192	102
921	1194	101
922	1195	99
923	1196	98
924	1197	97
925	1199	95
926	1200	94
927	1201	93
928	1202	91
929	1203	90
930	1204	89
931	1205	87
932	1207	86
933	1208	85
934	1209	84
935	1210	82
936	1212	81
937	1213	80
938	1215	78
939	1216	77
940	1217	76
941	1219	75
942	1220	73
943	1221	72
944	1222	71
945	1224	69
946	1225	68
947	1226	67
948	1227	65
949	1229	64
950	1230	63
951	1231	62
952	1232	60
953	1233	59
954	1235	58
955	1236	56
956	1237	55
957	1238	54
958	1239	53
959	1241	51
960	1242	50
961	1243	49
962	1244	47
963	1245	46
964	1247	45
965	1248	43
966	1249	42
967	1250	41
968	1251	40
969	1252	38
970	1254	37
971	1255	36
972	1256	34
973	1257	33
974	1258	32
975	1260	30
976	1261	29
977	1262	28
978	1264	27
979	1265	25
980	1266	24
981	1267	23
982	1268	21
983	1269	20
984	1271	19
985	1272	18
986	1273	16
987	1274	15
988	1276	14
989	1277	12
990	1279	11
991	1280	10
992	1281	9
993	1282	7
994	1283	6
995	1284	5
996	1286	3
997	1287	2
998	1288	1
999	1289	0
